"","lead_time","avg_price_per_room","meal_plan_yn","winter","market_segment_type","repeated_guest","no_of_special_requests"
"lead_time",1,-0.107403456807515,0.105410698331594,-0.15795237566709,-0.0737282647378136,-0.201636856648307,-0.035658953728317
"avg_price_per_room",-0.107403456807515,1,-0.0247362471894874,-0.2049261821135,0.0719726707461958,-0.201720030282642,0.206167934853629
"meal_plan_yn",0.105410698331594,-0.0247362471894874,1,-0.0303828812354677,-0.0413690641410335,-0.0626280716012182,-0.0445403529249361
"winter",-0.15795237566709,-0.2049261821135,-0.0303828812354677,1,0.0133761004080853,0.0795361378377528,0.000490627702944373
"market_segment_type",-0.0737282647378136,0.0719726707461958,-0.0413690641410335,0.0133761004080853,1,0.38522842934657,0.24821763882254
"repeated_guest",-0.201636856648307,-0.201720030282642,-0.0626280716012182,0.0795361378377528,0.38522842934657,1,-0.0117717175312128
"no_of_special_requests",-0.035658953728317,0.206167934853629,-0.0445403529249361,0.000490627702944373,0.24821763882254,-0.0117717175312128,1
